"Envio","EstadoBR","Capital","Favela","Bairro","FaixaEtária","Raça","Gênero","Trans","Escolaridade","Abordado","Quantidade","Qtd_+10","Última","Ocorridos","PolicialMesmoGênero","Revistas","Tratamento","Ocorridos2","Sentimentos","Transporte","Racismo","Armas","Motivo","Identificação","Tempo","Tipos","Local","Imagem","Menor18","Casa","Delegacia","NaDelegacia","Conhecidos","Conte"
"2021-05-31 12:46:19","Rio de Janeiro","Capital","Não","Bairro Renda Alta","18 - 24 anos","Parda","Não - binário","Sim","Superior incompleto","Sim","Uma vez","","< 3 meses","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Perguntaram para onde eu estava indo (ou vindo) Perguntaram se era eu traficante ou tinha relação com o tráfico Tentaram armar uma situação falsa para me incriminar","Gênero diferente","Nenhuma das alternativas anteriores","Péssimo","Houve violência física Houve violência psicológica Houve assédio moral","Humilhado Com raiva ou ódio Exposto Frustrado ou impotente Revoltado Inseguro Tendo minha privacidade invadida Com medo Desrespeitado Aliviado por não ter acontecido algo pior","a pé","Nunca mencionaram sua raça ou cor","Mão na arma no coldre","Me disseram que EU PARECIA SER um suspeito que estavam procurando Me disseram que minha ATITUDE era suspeita Me disseram que estranharam alguém como eu ali naquele local que eu estava Me informaram que estavam me abordando como parte da rotina do trabalho","Sempre","De 5 a 15 minutos","Muito variado, prefiro não escolher (não lembro)","Mesmos lugares","Nunca","Não","Não","Não","","",""
"2021-05-31 10:24:40","Minas Gerais","Capital","Sim","","30 - 34 anos","Preta","Masculino","Não","Superior completo","Sim","2 - 4","","3 - 6 meses","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista no veículo (no carro, na moto, etc.) Perguntaram para onde eu estava indo (ou vindo)","Mesmo gênero","Nenhuma das alternativas anteriores","Excelente","Nenhuma das opções anteriores","Nenhuma das alternativas anteriores","a pé","Nunca mencionaram sua raça ou cor","Mão na arma no coldre","Me informaram que estavam fazendo uma operação especial e precisavam me abordar","Nunca","De 5 a 15 minutos","Policia Militar","Diversos","Nunca","Não","Não","Não","","",""
"2021-05-31 06:26:52","Rio de Janeiro","Capital","Não","Bairro Renda Alta","35 ou mais","Branca","Masculino","Não","Pós-graduação","Sim","4 - 6","","Não lembra","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Perguntaram para onde eu estava indo (ou vindo)","Mesmo gênero","Nenhuma das alternativas anteriores","Nem bom nem ruim","Nenhuma das opções anteriores","Aliviado por não ter acontecido algo pior","de carro","Nunca mencionaram sua raça ou cor","Algumas vezes","Me disseram que minha ATITUDE era suspeita","Nunca","Até 5 minutos","Policia Militar Policia Civil","Mesmos lugares","Nunca","Não","Não","Não","","",""
"2021-05-31 00:06:43","Rio de Janeiro","Capital","Não","Bairro Renda Alta","35 ou mais","Preta","Feminino","Não","Pós-graduação","Sim","acima de 10","30","1 a 5 anos","Houve consulta aos meus documentos Houve revista no veículo (no carro, na moto, etc.) Perguntaram para onde eu estava indo (ou vindo)","","","Ruim","Nenhuma das opções anteriores","Humilhado Com raiva ou ódio Exposto Frustrado ou impotente Revoltado Inseguro Tendo minha privacidade invadida Com medo Desrespeitado","de carro","Nunca mencionaram sua raça ou cor","Sempre","Não me informaram o motivo","Algumas vezes","De 5 a 15 minutos","Policia Militar Grupo Especial (ex: BOPE, GOE, ROTA, ROCAM) Força Nacional","Sem padrão","Nunca","Sim","Não","Não","","",""
"2021-05-30 21:30:35","Minas Gerais","Capital","Sim","","18 - 24 anos","Parda","Feminino","Não","Superior incompleto","Sim","2 - 4","","1 a 5 anos","Houve revista na minha bolsa/mochila Perguntaram para onde eu estava indo (ou vindo) Perguntaram se era eu traficante ou tinha relação com o tráfico","","","Ruim","Houve violência psicológica Houve ameaças contra mim Houve assédio moral","Exposto Frustrado ou impotente Inseguro Tendo minha privacidade invadida Com medo Desrespeitado Aliviado por não ter acontecido algo pior","a pé","Nunca mencionaram sua raça ou cor","Algumas vezes","Me disseram que minha ATITUDE era suspeita Me disseram que tinham recebido uma denúncia e precisavam me abordar Não me informaram o motivo","Algumas vezes","De 5 a 15 minutos","Policia Militar Grupo Especial (ex: BOPE, GOE, ROTA, ROCAM)","Mesmos lugares","Nunca","Sim","Não","Não","","",""
"2021-05-30 20:20:32","Minas Gerais","Capital","Não","Bairro Renda Média","35 ou mais","Branca","Masculino","Não","Pós-graduação","Sim","7 - 9","","< 3 meses","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Houve revista no veículo (no carro, na moto, etc.) Perguntaram para onde eu estava indo (ou vindo)","Mesmo gênero","Tocaram nas minhas partes íntimas (seios, bumbum, virilha, órgãos genitais) Pediram para eu tirar uma ou mais peça de roupa","Excelente","Nenhuma das opções anteriores","Nenhuma das alternativas anteriores","de carro","Nunca mencionaram sua raça ou cor","Algumas vezes","Me informaram que estavam fazendo uma operação especial e precisavam me abordar Me informaram que estavam me abordando como parte da rotina do trabalho Estavam abordando várias pessoas no local (ex: blitz) Não me informaram o motivo","Nunca","De 5 a 15 minutos","Policia Militar Policia Rodoviário Federal Guarda Civil Metropolitana/Guarda Municipal Grupo Especial (ex: BOPE, GOE, ROTA, ROCAM)","Sem padrão","Apenas docs","Sim","Não","Não","","",""
"2021-05-30 16:53:24","Pernambuco","Litoral","Sim","","35 ou mais","Preta","Masculino","Não","Superior incompleto","Sim","4 - 6","","1 a 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Perguntaram para onde eu estava indo (ou vindo)","Mesmo gênero","Tocaram nas minhas partes íntimas (seios, bumbum, virilha, órgãos genitais) Pediram para eu tirar uma ou mais peça de roupa","Péssimo","Houve violência psicológica","Humilhado Com raiva ou ódio Exposto Frustrado ou impotente Revoltado Inseguro Tendo minha privacidade invadida Com medo Desrespeitado Aliviado por não ter acontecido algo pior","a pé","Sempre mencionaram sua raça ou cor","Algumas vezes","Me informaram que estavam me abordando como parte da rotina do trabalho Estavam abordando várias pessoas no local (ex: blitz)","Sempre","Até 5 minutos","Policia Militar","Diversos","Nunca","Sim","Não","","","",""
"2021-05-30 16:24:13","Rio de Janeiro","Capital","Não","Bairro Renda Baixa","18 - 24 anos","Branca","Feminino","Não","Superior incompleto","Não","","","","","","","","","","","","","","","","","","","","","","","Sim","Meu ex-namorado, branco, era Uber. Numa noite no início de 2020, foi fazer uma corrida para 4 amigos, todos negros, voltando de uma boate. Em determinado momento do percurso, o carro foi parado pela polícia. Pediram para os 4 amigos saírem do carro e mostrarem seus documentos. Meu ex, automaticamente, saiu do carro e mostrou seus documentos também. Um dos policiais disse: &quot;Você não precisa, pode voltar para o carro&quot;."
"2021-05-30 15:14:25","São Paulo","Capital","Sim","","18 - 24 anos","Parda","Masculino","Não","Superior incompleto","Não","","","","","","","","","","","","","","","","","","","","","","","Sim",""
"2021-05-30 14:54:04","Bahia","Capital","Não","Bairro Renda Média","25 - 29 anos","Preta","Masculino","Não","Médio completo","Sim","2 - 4","","6 meses - 1 ano","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Jogaram meus pertences no chão Perguntaram para onde eu estava indo (ou vindo) indagaram minha profissão e após responder que sou artista eles me perguntaram se não tinha uma profissão de verdade. Após apresentar os documentos eles se perguntaram o que fariam comigo.","Mesmo gênero","Nenhuma das alternativas anteriores","Ruim","Houve violência psicológica Houve agressão verbal, xingamentos Houve ameaças contra mim","Humilhado Frustrado ou impotente Revoltado Inseguro Com medo Desrespeitado","a pé","Poucas vezes mencionaram sua raça ou cor","Sempre","Me informaram que estavam me abordando como parte da rotina do trabalho Não me informaram o motivo apenas em um caso eles sinalizaram que foi uma rotina de trabalho, as outras vezes eles chegaram e não verbalizaram nada ","Algumas vezes","Até 5 minutos","Policia Militar Policia Civil","Diversos","Nunca","Sim","Não","Não","","",""
"2021-05-30 14:37:45","Rio de Janeiro","Capital","Não","Bairro Renda Baixa","35 ou mais","Parda","Masculino","Não","Superior incompleto","Sim","acima de 10","","1 a 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Houve revista no veículo (no carro, na moto, etc.)","Mesmo gênero","Nenhuma das alternativas anteriores","Péssimo","Houve agressão verbal, xingamentos","Humilhado Frustrado ou impotente Desrespeitado Aliviado por não ter acontecido algo pior","a pé","Nunca mencionaram sua raça ou cor","Algumas vezes","Me disseram que minha ATITUDE era suspeita Não me informaram o motivo","Nunca","De 5 a 15 minutos","Policia Militar","Sem padrão","Nunca","Sim","Sim","Sim","Eu fui levado, prestei esclarecimentos e fui liberado","",""
"2021-05-30 13:31:46","Distrito Federal","Reg.Metropolitana","Não","Bairro Renda Alta","35 ou mais","Preta","Feminino","Não","Pós-graduação","Sim","7 - 9","","1 a 5 anos","Houve consulta aos meus documentos Perguntaram para onde eu estava indo (ou vindo)","","","Bom","Nenhuma das opções anteriores","Com raiva ou ódio Revoltado","de carro","Nunca mencionaram sua raça ou cor","Nunca","Me informaram que estavam me abordando como parte da rotina do trabalho Estavam abordando várias pessoas no local (ex: blitz)","Nunca","Até 5 minutos","Policia Militar","Mesmos lugares","Nunca","Não","Não","Não","","",""
"2021-05-30 12:41:02","Pernambuco","Capital","Sim","","18 - 24 anos","Preta","Masculino","Sim","Médio completo","Sim","2 - 4","","1 a 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Perguntaram para onde eu estava indo (ou vindo) Pediram pra eu tirar a bermuda pra verem a minha prótese peniana ","Gênero diferente","Tocaram nas minhas partes íntimas (seios, bumbum, virilha, órgãos genitais) Pediram para eu tirar uma ou mais peça de roupa","Péssimo","Houve violência psicológica Houve assédio sexual Houve assédio moral","Humilhado Com raiva ou ódio Exposto Revoltado Inseguro Tendo minha privacidade invadida Desrespeitado Aliviado por não ter acontecido algo pior","a pé","Poucas vezes mencionaram sua raça ou cor","Mão na arma no coldre","Me disseram que estranharam alguém como eu ali naquele local que eu estava Me informaram que estavam me abordando como parte da rotina do trabalho Estavam abordando várias pessoas no local (ex: blitz)","Algumas vezes","De 5 a 15 minutos","Policia Militar","Diversos","Nunca","Sim","Não","Não","","",""
"2021-05-30 12:05:57","Pernambuco","Reg.Metropolitana","Sim","","18 - 24 anos","Parda","Não - binário","Sim","Médio completo","Sim","Uma vez","","3 - 6 meses","Houve consulta aos meus documentos Houve revista no meu celular Houve revista na minha bolsa/mochila","","","Bom","Nenhuma das opções anteriores","Exposto","a pé","Nunca mencionaram sua raça ou cor","Não me lembro","Estavam abordando várias pessoas no local (ex: blitz)","Sempre","Até 5 minutos","Policia Militar","Sem padrão","Nunca","Não","Sim","Não","","",""
"2021-05-30 10:00:14","Pernambuco","Capital","Não","Bairro Renda Média","35 ou mais","Preta","Feminino","Não","Pós-graduação","Não","","","","","","","","","","","","","","","","","","","","","","","Não",""
"2021-05-30 09:55:16","Rio de Janeiro","Capital","Não","Bairro Renda Baixa","30 - 34 anos","Preta","Feminino","Não","Pós-graduação","Sim","2 - 4","","> 5 anos","Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Houve revista no veículo (no carro, na moto, etc.) Perguntaram para onde eu estava indo (ou vindo) Perguntaram se era eu traficante ou tinha relação com o tráfico","","","Ruim","Houve violência psicológica Houve agressão verbal, xingamentos Houve ameaças contra mim Houve ameaça de morte Houve assédio moral","Humilhado Inseguro Com medo Desrespeitado Aliviado por não ter acontecido algo pior","de carro","Nunca mencionaram sua raça ou cor","Sempre","Me disseram que minha ATITUDE era suspeita Me disseram que estranharam alguém como eu ali naquele local que eu estava Me informaram que estavam me abordando como parte da rotina do trabalho Não me informaram o motivo","Nunca","De 15 a 30 minutos","Policia Militar","Sem padrão","Apenas docs","Não","Não","Não","","",""
"2021-05-30 09:23:23","Rio de Janeiro","Reg.Metropolitana","Não","Bairro Renda Média","35 ou mais","Branca","Feminino","Sim","Superior completo","Sim","2 - 4","","< 3 meses","Perguntaram para onde eu estava indo (ou vindo)","","","Nem bom nem ruim","Nenhuma das opções anteriores","Inseguro","de carro","Nunca mencionaram sua raça ou cor","Mão na arma no coldre","Estavam abordando várias pessoas no local (ex: blitz)","Nunca","De 5 a 15 minutos","Policia Militar Policia Rodoviário Federal","Sem padrão","Nunca","Sim","Não","Não","","",""
"2021-05-30 07:42:05","Minas Gerais","Interior ñ Rural","Sim","","18 - 24 anos","Preta","Feminino","Não","Superior incompleto","Sim","Uma vez","","< 3 meses","Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Perguntaram para onde eu estava indo (ou vindo) Perguntaram se era eu traficante ou tinha relação com o tráfico","","","Péssimo","Houve violência psicológica Houve assédio moral","Humilhado Com raiva ou ódio Exposto Frustrado ou impotente Revoltado Inseguro Tendo minha privacidade invadida Com medo Desrespeitado Aliviado por não ter acontecido algo pior","a pé","Poucas vezes mencionaram sua raça ou cor","Algumas vezes","Me disseram que minha ATITUDE era suspeita Me disseram que estranharam alguém como eu ali naquele local que eu estava Me informaram que estavam me abordando como parte da rotina do trabalho Estavam abordando várias pessoas no local (ex: blitz)","Nunca","De 5 a 15 minutos","Policia Militar","Mesmos lugares","Nunca","Não","Não","Não","","",""
"2021-05-29 21:35:15","Rio de Janeiro","Capital","Não","Bairro Renda Alta","35 ou mais","Parda","Masculino","Não","Médio completo","Sim","acima de 10","15","< 3 meses","Houve revista pessoal (contato físico entre o policial e você) Perguntaram para onde eu estava indo (ou vindo)","Mesmo gênero","Tocaram nas minhas partes íntimas (seios, bumbum, virilha, órgãos genitais) Pediram para eu tirar uma ou mais peça de roupa","Ruim","Houve violência psicológica Houve agressão verbal, xingamentos","Humilhado Com raiva ou ódio Exposto Frustrado ou impotente Inseguro Com medo Desrespeitado Aliviado por não ter acontecido algo pior","Transporte público","Poucas vezes mencionaram sua raça ou cor","Algumas vezes","Não me informaram o motivo","Algumas vezes","De 5 a 15 minutos","Policia Militar Policia Civil","Diversos","Nunca","Sim","Não","Não","","",""
"2021-05-29 21:25:55","São Paulo","Interior ñ Rural","Não","Bairro Renda Média","25 - 29 anos","Branca","Feminino","Não","Pós-graduação","Sim","Uma vez","","> 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve revista na minha bolsa/mochila","Gênero diferente","Nenhuma das alternativas anteriores","Ruim","Houve assédio moral","Humilhado Com raiva ou ódio Exposto Revoltado Com medo Aliviado por não ter acontecido algo pior","a pé","Nunca mencionaram sua raça ou cor","Mão na arma no coldre","Me disseram que tinham recebido uma denúncia e precisavam me abordar","Nunca","De 15 a 30 minutos","Policia Militar","Mesmos lugares","Nunca","Sim","Não","Não","","",""
"2021-05-29 21:23:52","Minas Gerais","Capital","Sim","","35 ou mais","Parda","Masculino","Não","Superior completo","Sim","Uma vez","","Não lembra","Houve revista pessoal (contato físico entre o policial e você)","Mesmo gênero","Nenhuma das alternativas anteriores","Excelente","Nenhuma das opções anteriores","Nenhuma das alternativas anteriores","a pé","Nunca mencionaram sua raça ou cor","Nunca","Me disseram que tinham recebido uma denúncia e precisavam me abordar","Nunca","De 5 a 15 minutos","Policia Militar","Mesmos lugares","Nunca","Não","Não","Não","","",""
"2021-05-29 21:13:27","Minas Gerais","Capital","Não","Bairro Renda Média","35 ou mais","Branca","Masculino","Não","Superior completo","Sim","7 - 9","","6 meses - 1 ano","Houve consulta aos meus documentos Houve revista no veículo (no carro, na moto, etc.) Perguntaram para onde eu estava indo (ou vindo)","","","Excelente","Basta se comportar educadamente","Agradecido por ter sido abordado","de carro","Nunca mencionaram sua raça ou cor","Mão na arma no coldre","Me informaram que estavam me abordando como parte da rotina do trabalho Estavam abordando várias pessoas no local (ex: blitz) Não me informaram o motivo","Nunca","Até 5 minutos","Policia Militar Policia Rodoviário Federal","Sem padrão","Nunca","Sim","Não","Não","","",""
"2021-05-29 20:55:56","Santa Catarina","Interior ñ Rural","Não","Bairro Renda Média","35 ou mais","Preta","Masculino","Não","Médio completo","Sim","7 - 9","","3 - 6 meses","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Perguntaram para onde eu estava indo (ou vindo) Perguntaram se era eu traficante ou tinha relação com o tráfico","Mesmo gênero","Nenhuma das alternativas anteriores","Nem bom nem ruim","Houve violência psicológica Houve agressão verbal, xingamentos Houve ameaças contra mim","Humilhado Com raiva ou ódio Frustrado ou impotente Revoltado Desrespeitado Aliviado por não ter acontecido algo pior","moto","Nunca mencionaram sua raça ou cor","Mão na arma no coldre","Me disseram que EU PARECIA SER um suspeito que estavam procurando Me disseram que minha ATITUDE era suspeita Me disseram que tinham recebido uma denúncia e precisavam me abordar Me informaram que estavam fazendo uma operação especial e precisavam me abordar Me informaram que estavam me abordando como parte da rotina do trabalho Estavam abordando várias pessoas no local (ex: blitz) Não me informaram o motivo","Algumas vezes","De 5 a 15 minutos","Policia Militar Guarda Civil Metropolitana/Guarda Municipal Grupo Especial (ex: BOPE, GOE, ROTA, ROCAM)","Mesmos lugares","Foto ou vídeo","Sim","Não","Não","","",""
"2021-05-29 20:18:26","Rio de Janeiro","Capital","Não","Bairro Renda Média","35 ou mais","Preta","Feminino","Não","Pós-graduação","Sim","acima de 10","15","< 3 meses","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Perguntaram para onde eu estava indo (ou vindo) Qual a minha profissão?","Gênero diferente","Nenhuma das alternativas anteriores","Nem bom nem ruim","Houve assédio moral","Humilhado Com raiva ou ódio Exposto Revoltado Tendo minha privacidade invadida Desrespeitado","Transporte público","Nunca mencionaram sua raça ou cor","Nunca","Não me informaram o motivo","Nunca","De 5 a 15 minutos","Policia Militar","Sem padrão","Nunca","Não","Não","Não","","",""
"2021-05-29 19:55:25","Rio de Janeiro","Reg.Metropolitana","Não","Bairro Renda Baixa","35 ou mais","Preta","Feminino","Não","Pós-graduação","Sim","2 - 4","","> 5 anos","Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Houve revista no veículo (no carro, na moto, etc.) Perguntaram para onde eu estava indo (ou vindo)","","","Ruim","Houve violência psicológica Houve assédio moral","Humilhado Com raiva ou ódio Exposto Frustrado ou impotente Revoltado Inseguro Tendo minha privacidade invadida Com medo Desrespeitado Aliviado por não ter acontecido algo pior","de carro","Nunca mencionaram sua raça ou cor","Algumas vezes","Me disseram que tinham recebido uma denúncia e precisavam me abordar Me informaram que estavam fazendo uma operação especial e precisavam me abordar Estavam abordando várias pessoas no local (ex: blitz)","Nunca","Até 5 minutos","Policia Militar","Sem padrão","Nunca","Não","Não","Não","","",""
"2021-05-29 19:50:46","Bahia","Interior ñ Rural","Sim","","Menos de 18 anos","Preta","Feminino","Não","Médio incompleto","Não","","","","","","","","","","","","","","","","","","","","","","","Sim",""
"2021-05-29 19:43:11","Minas Gerais","Capital","Sim","","35 ou mais","Parda","Masculino","Não","Pós-graduação","Sim","acima de 10","30","< 3 meses","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista na minha bolsa/mochila","Mesmo gênero","Nenhuma das alternativas anteriores","Bom","Nenhuma das opções anteriores","Seguro por ter segurança ","a pé","Nunca mencionaram sua raça ou cor","Mão na arma no coldre","Me informaram que estavam me abordando como parte da rotina do trabalho","Nunca","Até 5 minutos","Policia Militar Guarda Civil Metropolitana/Guarda Municipal","Diversos","Nunca","Sim","Não","Não","","",""
"2021-05-29 19:17:30","Minas Gerais","Capital","Sim","","18 - 24 anos","Preta","Masculino","Não","Médio incompleto","Sim","2 - 4","","6 meses - 1 ano","Houve consulta aos meus documentos","","","Excelente","Fui muito bem tratado. ","Senti que estavam fazendo um trabalho importante. ","a pé","Nunca mencionaram sua raça ou cor","Nunca","Me informaram que estavam me abordando como parte da rotina do trabalho","Nunca","Até 5 minutos","Policia Militar Policia Federal","Sem padrão","Nunca","Sim","Não","Não","","",""
"2021-05-29 18:56:04","Minas Gerais","Interior ñ Rural","Não","Bairro Renda Média","18 - 24 anos","Preta","Masculino","Não","Superior incompleto","Sim","2 - 4","","1 a 5 anos","Houve revista no veículo (no carro, na moto, etc.) Perguntaram para onde eu estava indo (ou vindo)","","","Péssimo","Houve violência psicológica","Humilhado Frustrado ou impotente Inseguro Com medo Desrespeitado","de carro","Poucas vezes mencionaram sua raça ou cor","Sempre","Me disseram que estranharam alguém como eu ali naquele local que eu estava Não me informaram o motivo","Nunca","De 5 a 15 minutos","Policia Militar","Diversos","Nunca","Não","Não","Não","","",""
"2021-05-29 18:37:33","São Paulo","Interior ñ Rural","Não","Bairro Renda Média","18 - 24 anos","Parda","Masculino","Não","Médio completo","Sim","2 - 4","","< 3 meses","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Houve revista no veículo (no carro, na moto, etc.) Perguntaram para onde eu estava indo (ou vindo)","Mesmo gênero","Tocaram nas minhas partes íntimas (seios, bumbum, virilha, órgãos genitais)","Ruim","Houve assédio sexual Houve assédio moral","Exposto Frustrado ou impotente Inseguro Tendo minha privacidade invadida Com medo Desrespeitado Aliviado por não ter acontecido algo pior","moto","Poucas vezes mencionaram sua raça ou cor","Mão na arma no coldre","Me disseram que estranharam alguém como eu ali naquele local que eu estava Me informaram que estavam me abordando como parte da rotina do trabalho","Nunca","De 5 a 15 minutos","Policia Militar Policia Civil","Diversos","Nunca","Não","Não","Não","","",""
"2021-05-29 18:29:28","Minas Gerais","Reg.Metropolitana","Não","Bairro Renda Média","30 - 34 anos","Branca","Masculino","Não","Superior completo","Sim","4 - 6","","1 a 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Houve revista no veículo (no carro, na moto, etc.) Perguntaram para onde eu estava indo (ou vindo)","Mesmo gênero","Nenhuma das alternativas anteriores","Excelente","Nenhuma das opções anteriores","Nenhuma das alternativas anteriores","a pé","Nunca mencionaram sua raça ou cor","Mão na arma no coldre","Me informaram que estavam me abordando como parte da rotina do trabalho","Nunca","Até 5 minutos","Policia Militar","Sem padrão","Nunca","Sim","Não","Não","","",""
"2021-05-29 18:26:01","Rio de Janeiro","Capital","Sim","","18 - 24 anos","Preta","Masculino","Não","Fundamental incompleto","Sim","acima de 10","20","1 a 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista no meu celular Houve revista na minha bolsa/mochila Jogaram meus pertences no chão Houve revista no veículo (no carro, na moto, etc.) Perguntaram para onde eu estava indo (ou vindo) Perguntaram se era eu traficante ou tinha relação com o tráfico Disseram que um dos meus pertences era roubado e não meu","Mesmo gênero","Pediram para eu tirar uma ou mais peça de roupa","Nem bom nem ruim","Houve violência psicológica Houve agressão verbal, xingamentos Houve ameaças contra mim","Frustrado ou impotente Inseguro Tendo minha privacidade invadida Com medo Desrespeitado Aliviado por não ter acontecido algo pior","skate","Nunca mencionaram sua raça ou cor","Algumas vezes","Me informaram que estavam fazendo uma operação especial e precisavam me abordar Me informaram que estavam me abordando como parte da rotina do trabalho Estavam abordando várias pessoas no local (ex: blitz) Não me informaram o motivo","Nunca","De 5 a 15 minutos","Policia Militar Policia Rodoviário Federal Guarda Civil Metropolitana/Guarda Municipal Grupo Especial (ex: BOPE, GOE, ROTA, ROCAM)","Mesmos lugares","Eu já fui levado para delegacia e tiraram minha foto","Sim","Não","Sim","Eu fui levado, prestei esclarecimentos e fui liberado","",""
"2021-05-29 18:25:23","Minas Gerais","Reg.Metropolitana","Não","Bairro Renda Baixa","35 ou mais","Parda","Masculino","Não","Superior completo","Sim","2 - 4","","1 a 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve revista na minha bolsa/mochila Jogaram meus pertences no chão Houve revista no veículo (no carro, na moto, etc.) Tentaram armar uma situação falsa para me incriminar Revistaram meu veículo onde estava meu filho de colo com arma empunhada e minha esposa grávida constrangida","Mesmo gênero","Tocaram nas minhas partes íntimas (seios, bumbum, virilha, órgãos genitais) Arma apontada e gancho no saco","Péssimo","Houve violência física Houve violência psicológica Houve ameaças contra mim Forjaram desacato por dizer que representaria contra eles no ministério público que controla a atividade policial","Humilhado Com raiva ou ódio Exposto Frustrado ou impotente Revoltado Tendo minha privacidade invadida Desrespeitado","de carro","Nunca mencionaram sua raça ou cor","Sempre","Me disseram que EU PARECIA SER um suspeito que estavam procurando Me disseram que tinham recebido uma denúncia e precisavam me abordar","Nunca","De 15 a 30 minutos","Policia Militar","Mesmos lugares","Nunca","Sim","Não","Sim","Nenhuma das anteriores","",""
"2021-05-29 18:12:30","São Paulo","Capital","Não","","25 - 29 anos","Preta","Masculino","Não","Superior incompleto","Sim","2 - 4","","1 a 5 anos","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Perguntaram para onde eu estava indo (ou vindo) Tentaram armar uma situação falsa para me incriminar","Mesmo gênero","Tocaram nas minhas partes íntimas (seios, bumbum, virilha, órgãos genitais)","Péssimo","Houve violência física Houve violência psicológica","Humilhado Com raiva ou ódio Exposto Frustrado ou impotente Revoltado Inseguro Tendo minha privacidade invadida Com medo Desrespeitado Aliviado por não ter acontecido algo pior","a pé","Poucas vezes mencionaram sua raça ou cor","Sempre","Me disseram que minha ATITUDE era suspeita Me informaram que estavam me abordando como parte da rotina do trabalho Estavam abordando várias pessoas no local (ex: blitz)","Algumas vezes","De 5 a 15 minutos","Policia Militar Guarda Civil Metropolitana/Guarda Municipal","","Nunca","Não","Não","Não","","",""
"2021-05-29 18:03:04","Minas Gerais","Capital","Não","Bairro Renda Baixa","35 ou mais","Branca","Masculino","Não","Pós-graduação","Sim","acima de 10","20","< 3 meses","Houve revista pessoal (contato físico entre o policial e você) Houve consulta aos meus documentos Houve revista na minha bolsa/mochila Na grande maioria das vezes me trataram com urbanidade e respeito, pois respeitei os policiais e atendi aos seus comandos.","Mesmo gênero","Nenhuma das alternativas anteriores","Bom","Nenhuma das opções anteriores Como eu tratei os policiais com respeito, na maioria das vezes me respeitaram também.","Nenhuma das alternativas anteriores Me senti seguro por estarem patrulhando a cidade e revistando qualquer indivíduo suspeito.","de carro","Nunca mencionaram sua raça ou cor","Nunca","Me informaram que estavam me abordando como parte da rotina do trabalho Estavam abordando várias pessoas no local (ex: blitz) Não me informaram o motivo Abordagens de rotina.","Nunca","De 5 a 15 minutos","Policia Militar Policia Civil Policia Rodoviário Federal Policia Federal Guarda Civil Metropolitana/Guarda Municipal Grupo Especial (ex: BOPE, GOE, ROTA, ROCAM)","Diversos","Nunca","Sim","Não","Sim","Eu fui levado, prestei esclarecimentos e fui liberado","",""
"2021-05-29 17:45:05","Minas Gerais","Capital","Não","Bairro Renda Média","35 ou mais","Preta","Masculino","Não","Pós-graduação","Sim","2 - 4","","> 5 anos","Houve revista pessoal (contato físico entre o policial e você) A polícia me discriminou me chamando de ""neguinho""","Mesmo gênero","Nenhuma das alternativas anteriores","Ruim","Houve agressão verbal, xingamentos","Humilhado Com raiva ou ódio Revoltado Desrespeitado","a pé","Às vezes mencionaram, às vezes não","Nunca","Não me informaram o motivo","Nunca","Até 5 minutos","Policia Militar","Diversos","Nunca","Sim","Não","Não","","",""
